userID,recency,frequency,quantity_avg,quantity_total,R,F,RF_Segment_Concat,RF_Score,RF_Level
0,11,9,1.0,9,3,2,32,5,2
1,2,10,1.3,13,4,2,42,6,2
2,3,18,1.1666666666666667,21,4,3,43,7,3
3,10,31,1.2903225806451613,40,3,4,34,7,3
4,2,17,1.7058823529411764,29,4,3,43,7,3
5,1,2,2.5,5,4,1,41,5,2
6,78,14,1.4285714285714286,20,1,2,12,3,1
7,57,5,1.0,5,1,1,11,2,0
8,111,10,2.0,20,1,2,12,3,1
9,31,10,1.2,12,2,2,22,4,1
10,4,12,1.5,18,4,2,42,6,2
11,30,23,1.5217391304347827,35,2,4,24,6,2
12,22,19,1.105263157894737,21,2,3,23,5,2
13,32,34,1.3823529411764706,47,2,4,24,6,2
14,23,22,1.1363636363636365,25,2,3,23,5,2
15,2,27,1.0740740740740742,29,4,4,44,8,3
16,18,7,2.0,14,3,1,31,4,1
17,10,29,1.206896551724138,35,3,4,34,7,3
18,21,20,1.1,22,2,3,23,5,2
19,8,8,1.125,9,4,1,41,5,2
20,35,12,1.0833333333333333,13,2,2,22,4,1
21,25,16,1.5625,25,2,3,23,5,2
22,37,29,1.3103448275862069,38,2,4,24,6,2
23,4,6,1.0,6,4,1,41,5,2
24,14,53,1.3396226415094339,71,3,4,34,7,3
25,3,3,1.3333333333333333,4,4,1,41,5,2
26,181,3,1.3333333333333333,4,1,1,11,2,0
27,137,11,1.2727272727272727,14,1,2,12,3,1
28,9,8,2.5,20,3,1,31,4,1
29,17,17,1.588235294117647,27,3,3,33,6,2
30,43,1,2.0,2,2,1,21,3,1
31,51,14,1.4285714285714286,20,1,2,12,3,1
32,62,12,1.9166666666666667,23,1,2,12,3,1
33,10,8,1.125,9,3,1,31,4,1
34,18,33,1.0606060606060606,35,3,4,34,7,3
35,97,11,1.3636363636363635,15,1,2,12,3,1
36,10,17,1.1176470588235294,19,3,3,33,6,2
37,18,15,1.7333333333333334,26,3,3,33,6,2
38,28,9,1.8888888888888888,17,2,2,22,4,1
