userID,recency,frequency,quantity_avg,quantity_total,R,F,RF_Segment_Concat,RF_Score,RF_Level
0,7,18,1.1111111111111112,20,4,2,42,6,2
1,16,15,1.2,18,3,2,32,5,2
2,7,21,1.1904761904761905,25,4,3,43,7,3
3,4,40,1.35,54,4,4,44,8,3
4,3,23,1.6956521739130435,39,4,3,43,7,3
5,7,4,2.0,8,4,1,41,5,2
6,15,21,1.4761904761904763,31,3,3,33,6,2
7,8,10,1.1,11,3,1,31,4,1
8,33,11,1.9090909090909092,21,2,1,21,3,1
9,13,13,1.1538461538461537,15,3,2,32,5,2
10,28,13,1.6153846153846154,21,2,2,22,4,1
11,56,29,1.5517241379310345,45,1,3,13,4,1
12,18,32,1.15625,37,2,4,24,6,2
13,2,50,1.34,67,4,4,44,8,3
14,48,26,1.2307692307692308,32,1,3,13,4,1
15,7,49,1.2653061224489797,62,4,4,44,8,3
16,15,13,1.7692307692307692,23,3,2,32,5,2
17,23,31,1.2258064516129032,38,2,4,24,6,2
18,2,24,1.0833333333333333,26,4,3,43,7,3
19,2,15,1.1333333333333333,17,4,2,42,6,2
20,47,15,1.2,18,1,2,12,3,1
21,26,27,1.3703703703703705,37,2,3,23,5,2
22,99,29,1.3103448275862069,38,1,3,13,4,1
23,46,7,1.0,7,1,1,11,2,0
24,5,69,1.3623188405797102,94,4,4,44,8,3
25,15,5,1.6,8,3,1,31,4,1
26,54,10,1.1,11,1,1,11,2,0
27,62,13,1.2307692307692308,16,1,2,12,3,1
28,15,18,1.8333333333333333,33,3,2,32,5,2
29,9,20,1.75,35,3,2,32,5,2
30,105,1,2.0,2,1,1,11,2,0
31,52,17,1.3529411764705883,23,1,2,12,3,1
32,44,22,1.8181818181818181,40,1,3,13,4,1
33,8,11,1.1818181818181819,13,3,1,31,4,1
34,19,39,1.0512820512820513,41,2,4,24,6,2
35,13,19,1.2105263157894737,23,3,2,32,5,2
36,38,24,1.125,27,1,3,13,4,1
37,80,15,1.7333333333333334,26,1,2,12,3,1
38,3,12,1.6666666666666667,20,4,1,41,5,2
39,25,26,1.5384615384615385,40,2,3,23,5,2
40,43,22,1.4545454545454546,32,1,3,13,4,1
41,2,57,1.4035087719298245,80,4,4,44,8,3
42,57,14,1.0,14,1,2,12,3,1
43,5,54,1.2777777777777777,69,4,4,44,8,3
44,75,10,1.6,16,1,1,11,2,0
45,10,20,1.05,21,3,2,32,5,2
46,26,28,1.0,28,2,3,23,5,2
47,29,13,1.2307692307692308,16,2,2,22,4,1
48,14,12,2.75,33,3,1,31,4,1
49,2,20,1.35,27,4,2,42,6,2
50,2,12,2.0,24,4,1,41,5,2
51,9,6,1.1666666666666667,7,3,1,31,4,1
52,13,6,2.1666666666666665,13,3,1,31,4,1
53,20,17,1.0588235294117647,18,2,2,22,4,1
54,39,13,1.2307692307692308,16,1,2,12,3,1
55,1,32,1.15625,37,4,4,44,8,3
56,11,19,1.4736842105263157,28,3,2,32,5,2
57,8,29,1.4137931034482758,41,3,3,33,6,2
58,9,18,1.7222222222222223,31,3,2,32,5,2
59,3,29,1.5172413793103448,44,4,3,43,7,3
60,48,16,1.125,18,1,2,12,3,1
61,8,20,2.2,44,3,2,32,5,2
62,76,25,1.28,32,1,3,13,4,1
63,6,80,1.6375,131,4,4,44,8,3
64,83,9,1.4444444444444444,13,1,1,11,2,0
65,1,13,1.2307692307692308,16,4,2,42,6,2
66,234,2,2.5,5,1,1,11,2,0
67,15,25,1.04,26,3,3,33,6,2
68,6,15,1.4666666666666666,22,4,2,42,6,2
69,8,42,1.2619047619047619,53,3,4,34,7,3
70,14,18,1.5555555555555556,28,3,2,32,5,2
71,14,5,1.6,8,3,1,31,4,1
72,39,8,1.375,11,1,1,11,2,0
73,155,8,1.25,10,1,1,11,2,0
74,21,18,1.1666666666666667,21,2,2,22,4,1
75,20,61,1.4098360655737705,86,2,4,24,6,2
76,19,40,1.5,60,2,4,24,6,2
77,2,24,3.375,81,4,3,43,7,3
78,7,24,1.5416666666666667,37,4,3,43,7,3
79,47,27,1.3333333333333333,36,1,3,13,4,1
80,4,23,1.0,23,4,3,43,7,3
81,14,7,1.1428571428571428,8,3,1,31,4,1
82,62,8,1.25,10,1,1,11,2,0
83,63,11,1.4545454545454546,16,1,1,11,2,0
84,79,6,1.1666666666666667,7,1,1,11,2,0
85,13,46,2.1956521739130435,101,3,4,34,7,3
86,14,17,1.0,17,3,2,32,5,2
87,87,7,3.4285714285714284,24,1,1,11,2,0
88,28,8,1.25,10,2,1,21,3,1
89,90,9,1.0,9,1,1,11,2,0
90,33,26,1.1153846153846154,29,2,3,23,5,2
91,14,30,1.6333333333333333,49,3,3,33,6,2
92,21,15,1.6,24,2,2,22,4,1
93,14,4,2.25,9,3,1,31,4,1
94,19,48,1.2916666666666667,62,2,4,24,6,2
95,7,15,1.0666666666666667,16,4,2,42,6,2
96,21,5,3.0,15,2,1,21,3,1
97,20,12,1.75,21,2,1,21,3,1
98,3,16,1.4375,23,4,2,42,6,2
99,8,15,1.2,18,3,2,32,5,2
100,40,44,1.0454545454545454,46,1,4,14,5,2
101,18,9,1.3333333333333333,12,2,1,21,3,1
102,112,4,1.0,4,1,1,11,2,0
