userID,recency,frequency,quantity_avg,quantity_total,R,F,RF_Segment_Concat,RF_Score,RF_Level
0,21,14,1.0,14,3,2,32,5,2
1,23,12,1.25,15,2,2,22,4,1
2,13,20,1.2,24,3,3,33,6,2
3,3,38,1.2894736842105263,49,4,4,44,8,3
4,33,17,1.7058823529411764,29,2,2,22,4,1
5,32,2,2.5,5,2,1,21,3,1
6,4,19,1.4210526315789473,27,4,3,43,7,3
7,19,7,1.1428571428571428,8,3,1,31,4,1
8,2,11,1.9090909090909092,21,4,2,42,6,2
9,62,10,1.2,12,1,1,11,2,0
10,35,12,1.5,18,2,2,22,4,1
11,25,29,1.5517241379310345,45,2,4,24,6,2
12,3,24,1.0833333333333333,26,4,3,43,7,3
13,8,45,1.3777777777777778,62,4,4,44,8,3
14,17,26,1.2307692307692308,32,3,3,33,6,2
15,6,36,1.2222222222222223,44,4,4,44,8,3
16,4,12,1.8333333333333333,22,4,2,42,6,2
17,20,30,1.2,36,3,4,34,7,3
18,52,20,1.1,22,1,3,13,4,1
19,23,11,1.0909090909090908,12,2,2,22,4,1
20,16,15,1.2,18,3,2,32,5,2
21,6,26,1.3846153846153846,36,4,3,43,7,3
22,68,29,1.3103448275862069,38,1,4,14,5,2
23,15,7,1.0,7,3,1,31,4,1
24,5,62,1.403225806451613,87,4,4,44,8,3
25,34,3,1.3333333333333333,4,2,1,21,3,1
26,23,10,1.1,11,2,1,21,3,1
27,31,13,1.2307692307692308,16,2,2,22,4,1
28,2,11,2.1818181818181817,24,4,2,42,6,2
29,48,17,1.588235294117647,27,1,2,12,3,1
30,74,1,2.0,2,1,1,11,2,0
31,21,17,1.3529411764705883,23,3,2,32,5,2
32,13,22,1.8181818181818181,40,3,3,33,6,2
33,41,8,1.125,9,1,1,11,2,0
34,18,35,1.0571428571428572,37,3,4,34,7,3
35,1,12,1.3333333333333333,16,4,2,42,6,2
36,7,24,1.125,27,4,3,43,7,3
37,49,15,1.7333333333333334,26,1,2,12,3,1
38,59,9,1.8888888888888888,17,1,1,11,2,0
39,55,25,1.56,39,1,3,13,4,1
40,12,22,1.4545454545454546,32,4,3,43,7,3
41,10,50,1.3,65,4,4,44,8,3
42,26,14,1.0,14,2,2,22,4,1
43,10,47,1.297872340425532,61,4,4,44,8,3
44,44,10,1.6,16,1,1,11,2,0
45,147,11,1.0,11,1,2,12,3,1
46,72,25,1.0,25,1,3,13,4,1
47,26,11,1.2727272727272727,14,2,2,22,4,1
48,17,6,4.333333333333333,26,3,1,31,4,1
49,2,13,1.5384615384615385,20,4,2,42,6,2
50,7,9,2.2222222222222223,20,4,1,41,5,2
51,82,4,1.25,5,1,1,11,2,0
52,90,3,3.0,9,1,1,11,2,0
53,2,16,1.0625,17,4,2,42,6,2
54,8,13,1.2307692307692308,16,4,2,42,6,2
55,17,22,1.0,22,3,3,33,6,2
56,53,12,1.25,15,1,2,12,3,1
57,4,22,1.5,33,4,3,43,7,3
58,41,15,1.7333333333333334,26,1,2,12,3,1
59,58,20,1.7,34,1,3,13,4,1
60,17,16,1.125,18,3,2,32,5,2
61,41,19,2.263157894736842,43,1,3,13,4,1
62,45,25,1.28,32,1,3,13,4,1
63,12,63,1.6349206349206349,103,4,4,44,8,3
64,52,9,1.4444444444444444,13,1,1,11,2,0
65,80,12,1.25,15,1,2,12,3,1
66,203,2,2.5,5,1,1,11,2,0
67,15,15,1.0666666666666667,16,3,2,32,5,2
68,56,13,1.4615384615384615,19,1,2,12,3,1
69,31,32,1.3125,42,2,4,24,6,2
70,23,17,1.588235294117647,27,2,2,22,4,1
71,26,4,1.75,7,2,1,21,3,1
72,8,8,1.375,11,4,1,41,5,2
73,124,8,1.25,10,1,1,11,2,0
74,17,17,1.1764705882352942,20,3,2,32,5,2
75,30,52,1.3461538461538463,70,2,4,24,6,2
76,19,29,1.4827586206896552,43,3,4,34,7,3
77,19,14,2.5,35,3,2,32,5,2
78,37,22,1.5909090909090908,35,2,3,23,5,2
79,16,27,1.3333333333333333,36,3,4,34,7,3
80,79,17,1.0,17,1,2,12,3,1
81,11,2,1.5,3,4,1,41,5,2
82,31,8,1.25,10,2,1,21,3,1
83,32,11,1.4545454545454546,16,2,2,22,4,1
84,48,6,1.1666666666666667,7,1,1,11,2,0
85,19,44,2.090909090909091,92,3,4,34,7,3
86,116,13,1.0,13,1,2,12,3,1
87,56,7,3.4285714285714284,24,1,1,11,2,0
88,92,5,1.2,6,1,1,11,2,0
89,59,9,1.0,9,1,1,11,2,0
90,2,26,1.1153846153846154,29,4,3,43,7,3
91,2,25,1.28,32,4,3,43,7,3
92,18,10,1.8,18,3,1,31,4,1
93,107,3,1.3333333333333333,4,1,1,11,2,0
94,6,45,1.2666666666666666,57,4,4,44,8,3
95,96,11,1.0,11,1,2,12,3,1
96,12,3,3.0,9,4,1,41,5,2
97,16,10,1.8,18,3,1,31,4,1
98,3,14,1.5,21,4,2,42,6,2
99,6,13,1.0769230769230769,14,4,2,42,6,2
100,9,44,1.0454545454545454,46,4,4,44,8,3
101,106,3,1.0,3,1,1,11,2,0
102,81,4,1.0,4,1,1,11,2,0
103,5,10,1.5,15,4,1,41,5,2
104,33,8,1.125,9,2,1,21,3,1
105,18,14,1.1428571428571428,16,3,2,32,5,2
106,55,22,1.0454545454545454,23,1,3,13,4,1
107,11,20,1.7,34,4,3,43,7,3
108,27,22,1.6363636363636365,36,2,3,23,5,2
109,3,25,1.04,26,4,3,43,7,3
110,19,42,1.2380952380952381,52,3,4,34,7,3
111,19,8,1.375,11,3,1,31,4,1
112,36,4,1.25,5,2,1,21,3,1
113,2,25,1.28,32,4,3,43,7,3
114,4,70,1.0142857142857142,71,4,4,44,8,3
115,79,7,1.0,7,1,1,11,2,0
116,54,12,1.3333333333333333,16,1,2,12,3,1
117,3,30,1.3666666666666667,41,4,4,44,8,3
118,23,26,1.1153846153846154,29,2,3,23,5,2
119,1,29,1.5517241379310345,45,4,4,44,8,3
120,28,11,1.0909090909090908,12,2,2,22,4,1
121,15,8,1.125,9,3,1,31,4,1
122,15,15,1.6666666666666667,25,3,2,32,5,2
123,10,10,1.9,19,4,1,41,5,2
124,5,16,1.0,16,4,2,42,6,2
125,74,7,1.0,7,1,1,11,2,0
